Source,Targets,Type,Id,Label,timeset,Weight,edge,text
P1.8,P1.8.5,Directed,515,,,1,,
P1.8,P1.8.4,Directed,516,,,1,,
P1.8,P1.8.3,Directed,517,,,1,,
P1.8,P1.8.1,Directed,518,,,1,,
P1.8,P1.8.2,Directed,519,,,1,,
P1.8,P1.8.8,Directed,520,,,1,,
P1.9,P1.9.1,Directed,533,,,1,,
P1.10,P1.10.1,Directed,545,,,1,,
P1.10,P1.10.2,Directed,546,,,1,,
P1.10,P1.10.3,Directed,547,,,1,,
P1.10,P1.10.4,Directed,548,,,1,,
P1.10,P1.10.5,Directed,549,,,1,,
P1.10,P1.10.6,Directed,550,,,1,,
P1.10,P1.10.7,Directed,551,,,1,,
P1.10,P1.10.8,Directed,552,,,1,,
P1.10,P1.10.9,Directed,553,,,1,,
P1.10,P1.10.11,Directed,554,,,1,,
P1.10,P1.10.13,Directed,555,,,1,,
P1.10,P1.10.12,Directed,556,,,1,,
P1.10,P1.1.5,Directed,557,,,1,,
P1.10,P1.10.14,Directed,558,,,1,,
P1.10,P1.10.10,Directed,559,,,1,,
P1,P1.3,Directed,576,,,1,,
P1,P1.2,Directed,577,,,1,,
P1,P1.12,Directed,578,,,1,,
P1,P1.6,Directed,579,,,1,,
P1,P1.8,Directed,580,,,1,,
P1,P1.1,Directed,581,,,1,,
P1,P1.5,Directed,582,,,1,,
P1,P1.4,Directed,583,,,1,,
P1,P1.9,Directed,584,,,1,,
P1,P1.10,Directed,585,,,1,,
P1,P1.7,Directed,586,,,1,,
P1.12.2,P1.12.2.1,Directed,591,,,1,,
P1.12.2,P1.12.2.2,Directed,592,,,1,,
P1.12.2,P1.12.2.3,Directed,593,,,1,,
P1.12.2,P1.12.2.4,Directed,594,,,1,,
P1.12.2,P1.12.2.5,Directed,595,,,1,,
P1.12.2,P1.12.2.6,Directed,596,,,1,,
P1.12.2,P1.12.2.7,Directed,597,,,1,,
P1.12.2,P1.12.2.8,Directed,598,,,1,,
P1.12,P1.12.2,Directed,599,,,1,,
P1.12,P1.12.3,Directed,600,,,1,,
P1.12,P1.12.4,Directed,601,,,1,,
P1.12,P1.12.5,Directed,602,,,1,,
P1.12,P1.12.6,Directed,603,,,1,,
P1.12,P1.12.7,Directed,604,,,1,,
P1.12,P1.12.8,Directed,605,,,1,,
P1.12,P1.12.9,Directed,606,,,1,,
P1.12,P1.12.10,Directed,607,,,1,,
P1.12,P1.12.11,Directed,608,,,1,,
P1.12,P1.12.12,Directed,609,,,1,,
P1.12,P1.12.13,Directed,610,,,1,,
P1.12,P1.12.14,Directed,611,,,1,,
P1.12,P1.12.15,Directed,612,,,1,,
P1.12,P1.12.16,Directed,613,,,1,,
P1.12,P1.12.17,Directed,614,,,1,,
P1.12,P1.12.18,Directed,615,,,1,,
P1.12,P1.12.19,Directed,616,,,1,,
P1.12,P1.12.20,Directed,617,,,1,,
P1.12,P1.12.21,Directed,618,,,1,,
P1.12,P1.12.22,Directed,619,,,1,,
P1.12,P1.12.24,Directed,620,,,1,,
P1.12,P1.12.25,Directed,621,,,1,,
P1.12,P1.12.26,Directed,622,,,1,,
P1.12,P1.12.27,Directed,623,,,1,,
P1.12,P1.12.28,Directed,624,,,1,,
P1.12,P1.12.29,Directed,625,,,1,,
P1.12,P1.12.30,Directed,626,,,1,,
P1.12,P1.12.31,Directed,627,,,1,,
P1.12,P1.12.32,Directed,628,,,1,,
P1.12,P1.12.33,Directed,629,,,1,,
P1.12,P1.12.34,Directed,630,,,1,,
V12,R2.4,Directed,649,,,1,,
V18,R2.10,Directed,650,,,1,,
V11,R2.3,Directed,651,,,1,,
V17,R2.9,Directed,652,,,1,,
V6,R1.7,Directed,653,,,1,,
V8,R1.8.1,Directed,654,,,1,,
V1,R1.1,Directed,655,,,1,,
V4,R1.3,Directed,656,,,1,,
V15,R2.7,Directed,657,,,1,,
V3,R1.2,Directed,658,,,1,,
V3,R1.6,Directed,659,,,1,,
V14,R2.6,Directed,660,,,1,,
V7,R1.8,Directed,661,,,1,,
V9,R2.1,Directed,662,,,1,,
V13,R2.5,Directed,663,,,1,,
V16,R2.8,Directed,664,,,1,,
V2,R1.9,Directed,665,,,1,,
V5,R1.4,Directed,666,,,1,,
V10,R2.2,Directed,667,,,1,,
